conv_layer_1;conv_layer_2;dense_layer_1;dense_layer_2;drop_out_1;drop_out_2;id_simu
32;32;16;16;0.3;0.4;582
32;32;16;16;0.3;0.5;583
32;32;16;16;0.4;0.2;584
32;32;16;16;0.4;0.3;585
32;32;16;16;0.4;0.4;586
32;32;16;16;0.4;0.5;587
32;32;16;16;0.5;0.2;588
32;32;16;16;0.5;0.3;589
32;32;16;16;0.5;0.4;590
32;32;16;16;0.5;0.5;591
32;32;16;32;0.2;0.2;592
32;32;16;32;0.2;0.3;593
32;32;16;32;0.2;0.4;594
32;32;16;32;0.2;0.5;595
32;32;16;32;0.3;0.2;596
32;32;16;32;0.3;0.3;597
32;32;16;32;0.3;0.4;598
32;32;16;32;0.3;0.5;599
32;32;16;32;0.4;0.2;600
32;32;16;32;0.4;0.3;601
32;32;16;32;0.4;0.4;602
32;32;16;32;0.4;0.5;603
32;32;16;32;0.5;0.2;604
32;32;16;32;0.5;0.3;605
32;32;16;32;0.5;0.4;606
32;32;16;32;0.5;0.5;607
32;32;16;64;0.2;0.2;608
32;32;16;64;0.2;0.3;609
32;32;16;64;0.2;0.4;610
32;32;16;64;0.2;0.5;611
32;32;16;64;0.3;0.2;612
32;32;16;64;0.3;0.3;613
32;32;16;64;0.3;0.4;614
32;32;16;64;0.3;0.5;615
32;32;16;64;0.4;0.2;616
32;32;16;64;0.4;0.3;617
32;32;16;64;0.4;0.4;618
32;32;16;64;0.4;0.5;619
32;32;16;64;0.5;0.2;620
32;32;16;64;0.5;0.3;621
32;32;16;64;0.5;0.4;622
32;32;16;64;0.5;0.5;623
32;32;32;16;0.2;0.2;624
32;32;32;16;0.2;0.3;625
32;32;32;16;0.2;0.4;626
32;32;32;16;0.2;0.5;627
32;32;32;16;0.3;0.2;628
32;32;32;16;0.3;0.3;629
32;32;32;16;0.3;0.4;630
32;32;32;16;0.3;0.5;631
32;32;32;16;0.4;0.2;632
32;32;32;16;0.4;0.3;633
32;32;32;16;0.4;0.4;634
32;32;32;16;0.4;0.5;635
32;32;32;16;0.5;0.2;636
32;32;32;16;0.5;0.3;637
32;32;32;16;0.5;0.4;638
32;32;32;16;0.5;0.5;639
32;32;32;32;0.2;0.2;640
32;32;32;32;0.2;0.3;641
32;32;32;32;0.2;0.4;642
32;32;32;32;0.2;0.5;643
32;32;32;32;0.3;0.2;644
32;32;32;32;0.3;0.3;645
32;32;32;32;0.3;0.4;646
32;32;32;32;0.3;0.5;647
32;32;32;32;0.4;0.2;648
32;32;32;32;0.4;0.3;649
32;32;32;32;0.4;0.4;650
32;32;32;32;0.4;0.5;651
32;32;32;32;0.5;0.2;652
32;32;32;32;0.5;0.3;653
32;32;32;32;0.5;0.4;654
32;32;32;32;0.5;0.5;655
32;32;32;64;0.2;0.2;656
32;32;32;64;0.2;0.3;657
32;32;32;64;0.2;0.4;658
32;32;32;64;0.2;0.5;659
32;32;32;64;0.3;0.2;660
32;32;32;64;0.3;0.3;661
32;32;32;64;0.3;0.4;662
32;32;32;64;0.3;0.5;663
32;32;32;64;0.4;0.2;664
32;32;32;64;0.4;0.3;665
32;32;32;64;0.4;0.4;666
32;32;32;64;0.4;0.5;667
32;32;32;64;0.5;0.2;668
32;32;32;64;0.5;0.3;669
32;32;32;64;0.5;0.4;670
32;32;32;64;0.5;0.5;671
32;32;64;16;0.2;0.2;672
32;32;64;16;0.2;0.3;673
32;32;64;16;0.2;0.4;674
32;32;64;16;0.2;0.5;675
32;32;64;16;0.3;0.2;676
32;32;64;16;0.3;0.3;677
32;32;64;16;0.3;0.4;678
32;32;64;16;0.3;0.5;679
32;32;64;16;0.4;0.2;680
32;32;64;16;0.4;0.3;681
32;32;64;16;0.4;0.4;682
32;32;64;16;0.4;0.5;683
32;32;64;16;0.5;0.2;684
32;32;64;16;0.5;0.3;685
32;32;64;16;0.5;0.4;686
32;32;64;16;0.5;0.5;687
32;32;64;32;0.2;0.2;688
32;32;64;32;0.2;0.3;689
32;32;64;32;0.2;0.4;690
32;32;64;32;0.2;0.5;691
32;32;64;32;0.3;0.2;692
32;32;64;32;0.3;0.3;693
32;32;64;32;0.3;0.4;694
32;32;64;32;0.3;0.5;695
32;32;64;32;0.4;0.2;696
32;32;64;32;0.4;0.3;697
32;32;64;32;0.4;0.4;698
32;32;64;32;0.4;0.5;699
32;32;64;32;0.5;0.2;700
32;32;64;32;0.5;0.3;701
32;32;64;32;0.5;0.4;702
32;32;64;32;0.5;0.5;703
32;32;64;64;0.2;0.2;704
32;32;64;64;0.2;0.3;705
32;32;64;64;0.2;0.4;706
32;32;64;64;0.2;0.5;707
32;32;64;64;0.3;0.2;708
32;32;64;64;0.3;0.3;709
32;32;64;64;0.3;0.4;710
32;32;64;64;0.3;0.5;711
32;32;64;64;0.4;0.2;712
32;32;64;64;0.4;0.3;713
32;32;64;64;0.4;0.4;714
32;32;64;64;0.4;0.5;715
32;32;64;64;0.5;0.2;716
32;32;64;64;0.5;0.3;717
32;32;64;64;0.5;0.4;718
32;32;64;64;0.5;0.5;719
32;64;16;16;0.2;0.2;720
32;64;16;16;0.2;0.3;721
32;64;16;16;0.2;0.4;722
32;64;16;16;0.2;0.5;723
32;64;16;16;0.3;0.2;724
32;64;16;16;0.3;0.3;725
32;64;16;16;0.3;0.4;726
32;64;16;16;0.3;0.5;727
32;64;16;16;0.4;0.2;728
32;64;16;16;0.4;0.3;729
32;64;16;16;0.4;0.4;730
32;64;16;16;0.4;0.5;731
32;64;16;16;0.5;0.2;732
32;64;16;16;0.5;0.3;733
32;64;16;16;0.5;0.4;734
32;64;16;16;0.5;0.5;735
32;64;16;32;0.2;0.2;736
32;64;16;32;0.2;0.3;737
32;64;16;32;0.2;0.4;738
32;64;16;32;0.2;0.5;739
32;64;16;32;0.3;0.2;740
32;64;16;32;0.3;0.3;741
32;64;16;32;0.3;0.4;742
32;64;16;32;0.3;0.5;743
32;64;16;32;0.4;0.2;744
32;64;16;32;0.4;0.3;745
32;64;16;32;0.4;0.4;746
